name,avg_price,recommended_dishes
鲜小牛汤·拌面(五角场万达店),￥24,
复川小食堂(国霞路店),￥38,
味师蒋大厨东坡肉(国华广场店),￥38,东坡肉、香辣炸鸡腿、西兰花
蒲记特色海鲜黄鱼杂粮面,￥31,现炒老坛雪菜黄鱼杂粮米粉、蒲记特色海鲜黄鱼杂粮面、现炒老坛雪菜猪肝杂粮面
赣遇·老南昌水煮(杨浦店),￥35,家乡水豆干、炸腐竹片、南昌豆泡
木有盐咸货米线·火锅(大学路店),￥31,香菇咸鸡米线（原味）、软糯木薯糖水、咸货一锅鲜锅底
老东家经典小吃(政民店),￥22,生煎包、苏州汤包、大馄饨
红烧牛肉面(安波路店),￥26,红烧牛肉面、牛肉刀削面、酸菜
佰粒章鱼烧(太平洋森活天地店),￥22,原味章鱼丸、咸蛋黄章鱼小丸、长沙臭豆腐
新加坡海南鸡饭(上豪大厦店),￥29,招牌海南鸡饭、油鸡饭、蚝油青菜
