name,avg_price,recommended_dishes
吃是福·潮汕菜·鱼生虾生(五角场店),￥144,膏蟹鲜虾粥、腌虾、甘草水果
顽魔MarsTimes铁板烧/日式料理(宇宙首店),￥178,原切安格斯菲肋牛排、蒜香草虾、金银蒜蒸生蚝
西塔老太太泥炉烤肉(五角场合生汇店),￥129,老太太特色肥瘦、秘制牛五花、秘制卷牛肋排
拾川·烧鸟居酒屋(汇锦里店),￥132,烧鸟、鹅肝寿司、刺身拼盘
翠庭(国华广场店),￥288,鲜活松叶蟹、自制黄贡椒·安格斯牛肉、法葱黎麦·深海小青龙
好好彩啫啫煲(杨浦合生汇店),￥85,神仙啫啫清远鸡煲、食神腊味煲仔饭、大力啫啫牛蛙煲
渔吉ISAKICHI·日式烧鸟居酒屋(硕和生活广场店),￥125,烧鸟、松叶蟹、焦糖菠萝
嘻游记·中国烤肉(五角场万达店),￥107,厚切黑金猪五花、瀑布横膈膜、鲜果蜜制牛五花
瓯,￥410,葱茸淮山炒明虾球、黑醋蜂窝溏心富贵虾、低温碳烤雪花牛肋骨
粤丰閣·港式茶点心,￥93,蒜香骨、烧麦皇、虾饺
海大师炭烤小酒馆,￥90,吊龙小牛肉10串、雪花牛肋条10串、脆烤油边儿
旬IZAKAYA 燒鳥·酒肴(吉浦湾店),￥92,京葱鸡腿肉、烤芝士年糕、烤饭团茶泡饭
萬记舟山海鲜大礼包(五角场店),￥139,公蟹母蟹、五芳斋竹篮款粽、万记姜茶包
鸿姐老火锅(五角场店),￥120,嫩牛肉、鲜鸭血、脆毛肚
蓝天宾馆西餐厅,￥120,
烧烤龙虾辣蛙,￥81,娃娃菜、厚百叶、黑木耳
鲜主·牛肉海鲜·自选火锅(国华广场店),￥96,（灰盘）现切牛肉、大生蚝、云南菌菇锅
王奋斗贵州酸汤牛肉火锅(合生汇店),￥106,精选黄牛肉、凯里红酸汤锅、炸石屏包浆豆腐
姚稷大铁锅(五角场万达店),￥100,姚稷炖鲜鹅、姚稷大拉皮、姚稷大拌菜
茗宴·江浙私房菜(杨浦店),￥285,金华两头乌冬坡、茗宴招牌功夫汤、江南脆皮小牛肉
小伟吉林特色烧烤(政民路店),￥86,酱油筋、拌鸡架、羊肉串
云中鱼蒸汽石锅鱼(五角场万达第一食品城店),￥114,蒸汽石锅鱼、青椒紫苏锅、牛肝菌
釜山火炉·韩国烤肉大排档(五角场吉浦湾店),￥108,活杀鳗鱼、招牌牛肉、特级梅花肉
巧国源记(太平洋森活天地店),￥82,龙井茶巧克力、东方莓果巧克力、肉桂牛奶巧克力
西塔老太太泥炉烤肉(杨浦国华广场店),￥125,老太太特色肥瘦、老太太特色瘦牛、雪花肋条
牛鼎云南特色烧烤(上海首店),￥95,牛鼎招牌牛骨髓、手工羊肉小串、云南特色小锅米线
凤添吉·小海鲜美鸡煲·大排档(五角场店),￥95,药膳醉美鸡煲、乳山生蚝/6只、鲜活基围虾
蜀谭记·盐帮川菜(五角场店),￥99,飘香沸腾鱼、自贡鲜椒牛蛙、歌乐山辣子鸡
京元盛铜锅涮肉(五角场店),￥147,热气羊肉、特色烤串、安格斯牛上脑
跃杨小龙虾·鲜鱼杂(关山路店),￥136,招牌十三香小龙虾、金牌蒜泥龙虾、至尊冰镇酒醉大虾
熹·PEONY 中原会馆(尚浦汇1期店),￥268,汴京酥不腻烤鸭、商丘烙馍风味卷菜、糖醋大黄鱼焙面
和筵·闽菜·新粤菜(五角场店),￥218,闽式创意荔枝肉、油醋汁蒸膏蟹、招牌酥不腻烤鸭
鳗炉家·西塔泥炉烤肉(五角场合生汇店),￥126,九品至尊鳗鱼、秘制牛五花、鳗炉家活烤鳗鱼
江西老表·经典江西八大碗,￥85,江西炒粉、宜春油浸鱼、萍乡小炒肉
HADAR 哈达·香格里拉,￥87,【滇味】包烧杂菌、【滇味】黑三剁、松茸汽锅鸡
渔火记海鲜大排档,￥96,家烧东海小鲜、葱油捞汁猪肝花蛤、雪菜炒小鱿鱼
竹影食光·小酒馆,￥89,紫苏牛蛙、生炒排骨、鸭头干锅
吉腾日本料理居酒屋(国权东路店),￥103,鹅肝握寿司、三文鱼刺身、牛肉寿喜锅
刘记家宴·本帮融合菜(金宏商务大厦店),￥103,本帮红烧肉、宫爆大虾球、湘味小炒黄牛肉
焗外人(上海太平洋森活天地店),￥81,盐焗鸡脚筋、盐焗掌中宝、盐焗鹌鹑蛋
SASHA'S·萨莎斯(大学路店),￥132,咖喱皇牛肋条 Beef Ribs、曼谷香茅脆皮烤鸡（半只）、冬阴功海鲜锅
平成屋·喜之锅(合生汇店),￥108,大满足和牛寿喜烧、三文鱼逸品刺身、厚切三文鱼大脂刺身
PD KITCHEN(大学路店),￥160,12小时果木熏牛胸肉、蓝波芝士薯条、蜂蜜芥末鸡肉棒
上海绍兴饭店(五角场店),￥166,绍兴白斩鸡、油醋汁紫白菜、千里飘香
虾趣之夜音乐龙虾餐厅(五角场店),￥98,经典十三香龙虾、经典麻辣小龙虾、羊蝎子火锅
墟弥Goods(五角场百联ZX造趣场店),￥123,
KCOOKING概念韩餐(上海合生汇店),￥110,招牌辛牛骨、火山石烤牛五花、雪花芝士炸鸡
阿嫲潮味,￥127,招牌砂锅膏蟹粥、川汁大吊桶、阿嫲特色豆腐
合味烧鸟の深夜食堂(鑫和吉浦天地店),￥98,三文鱼、寿喜锅、火炙拼盘
盱眙龙虾馆(吉浦路店),￥85,网红小腊肠
東盛炭烤自助料理(五角场万达店),￥129,现切三文鱼、Q弹黑虎虾、烤鳗鱼
满陇山房·膏蟹年糕馆(上海合生汇店),￥130,台州家烧膏蟹年糕、天麻火腿土鸡煲、文火烹黄鱼菜饭
滇界·云南野鲜菌火锅(上海首店),￥113,菌菇锅底、鲜云南吊龙、红河哈尼米线
味之绝美蛙鱼头火锅(五角场万达店),￥89,味之绝招牌美蛙、牛蛙、自助水果调料
云潇潇抚仙湖石锅鱼(五角场合生汇店),￥108,江团鱼、抚仙湖鱼汤、云南鲜花饼
好运发·精功顺德(合生汇店),￥98,十年新会陈皮蒸无骨鲫鱼、蜜汁怀旧叉烧、顺德凉拌鱼皮
肥大嘴·哈尔滨烧烤·小龙虾·锅包肉(五角场店),￥93,大油边、鲜羊肉串、绝味拌毛豆
旧村·砂锅焗海鲜(合生汇店),￥110,鸦片鱼头、小管鱿鱼、猪蹄凤爪
刘栋梁大排档(大学路店),￥113,超级毛血旺、栋梁招牌十三香小龙虾、肥肠烤鱼
