name,avg_price,recommended_dishes
和米堂(百联又一城店),￥21,原味章鱼小丸子、咸蛋黄培根章鱼烧、培根芝士章鱼丸子
复旦大学-本部食堂,￥23,双皮奶、红烧肉、糖醋小排
味千拉面(又一城店),￥39,大骨浓汤猪软骨拉面、浓厚豚骨面特选、日式手工煎饺
少成面馆特色油葱手擀面·花式海鲜手擀面(国定路店),￥31,花蛤油葱面、水煮牛里脊汤面、鲜虾花蛤汤面
赛百味SUBWAY(创智天地淞沪路店),￥29,金枪鱼三明治、黑胡椒厚切牛排百味卷、照烧鸡三明治
椰小小·元气椰子水(合生汇店),￥24,椰子水、椰子吨吨桶、玫瑰粉椰水
成都你六姐·牛肉冒菜(上海百联又一城店),￥39,牛肉冒菜
maprao麦普劳·泰式奶茶·泰香椰水(五角场店),￥24,泰式生椰奶茶、【流浪地球】生椰奶昔、不加一滴水的椰淇淋
LINLEE林里·手打柠檬茶(太平洋森活天地店),￥16,清新手打柠檬茶、招牌霸王杯柠檬茶、山茶花手打柠檬茶
陕王爷西北小吃(上海国华店),￥30,红烧肉biangbiang油泼扯面、腊汁猪腿肉夹馍、黄米凉糕
新里上海点心(邯郸路店),￥17,鲜肉大包、现熬小米南瓜粥、酱肉烧卖
宝珠奶酪(太平洋森活天地店),￥23,酒酿桂花酪、坚果芒芒酒酿酸奶、酒酿雪球奶酪
失控猫·烧肉饭·拉面(太平洋森活天地店),￥30,炙烤五花烧肉饭、安格斯肥牛烧肉饭、章鱼小丸子
摔浇锅锅现炒浇头面(五角场店),￥21,川魂盐帮回锅肉拌面、豆角红烧肉焖面、林间野菌鸡汤面
闷闷嗲面馆(五角场店),￥29,狮子头、爆汁虎皮蛋、炸猪排
老乡鸡(上海五角场万达广场店),￥27,肥西老母鸡汤、农家小炒肉、经典毛豆烧鸡
肯德基(五角场百联ZX店),￥21,芝士猪柳帕尼尼、香辣鸡翅、生炸大鸡腿串
爷爷不泡茶NOYEYENOTEA(上海百联ZX造趣场店),￥17,荔枝冰酿、咸宁桂花、空山栀子
Salud撒露欧洲冻酸奶(五角场合生汇店),￥26,热销冻酸奶、撒露、芒果双拼冻酸奶
永民手作(上海鑫和吉浦天地店),￥12,黑糖珍珠奶茶、布蕾黑糖珍珠奶茶、冻柠茶
LINLEE林里·手打柠檬茶(杨浦国华店),￥17,特浓手打柠檬茶、招牌手打柠檬茶、白葡萄冰柠茶
麦伴伴爆炒浇头面政通路,￥25,藤椒鸡柳拌面、香辣龙虾尾拌面、鹿茸菇小炒肉拌面
食其家·牛丼咖喱(太平洋森活天地店),￥32,牛丼饭、日式爽滑蒸蛋、温泉蛋牛肉鳗鱼丼
1点点(五角场第一食品店),￥15,红茶玛奇朵、冰淇淋红茶、四季奶青
光头牛羊肉汤面馆•火锅•驴肉(国权北路店),￥37,牛大骨、红烧羊肉粉丝汤、羊肉拌面
粒上皇(太平洋森活天地店),￥23,粒上皇糖炒栗子、冰栗仁、粒上皇霜糖山楂
CoCo都可(五角场万达店),￥13,奶茶三兄弟、鲜芋青稞牛奶、珍珠奶茶
CoCo都可(太平洋森活天地店),￥13,奶茶三兄弟、珍珠奶茶、鲜芋青稞醇牛奶
四海游龙(国华广场店),￥30,招牌手工原味锅贴、招牌酸辣汤、黄金双拼
茶理宜世(五角场万达店),￥18,烟雨乌龙、凤凰单枞、秘境玫瑰
辛一·铜锣烧(国华广场店),￥20,生巧栗子可可·、芋泥拉丝麻薯、北海道芝士
食書集Cook&Book,￥39,黑松露红烧肉、白斩鸡、蒜蓉开片虾
弄堂里额双档(三门路店),￥20,双档粉丝汤、猪油渣皮蛋小馄饨（隐藏菜单）、小馄饨
廿門冰室(君庭广场店),￥39,叉烧滑蛋饭、香煎鸡扒双蛋饭、冻柠茶
CoCo都可(杨浦百联ZX造趣场店),￥18,鲜草莓大福、鲜芋牛奶、生椰杨枝甘露
VQ鲜榨果汁(上海合生汇店),￥22,鲜榨果汁、百香果梨汁、超级果粒芒
新海诚作品咖啡,￥40,奶盖咖啡、缘分之始气泡饮、芒果美式
凯司令(五角场万达广场店),￥34,栗子蛋糕、掼奶油、白脱小方
ChowChowCoffee松狮咖啡(五角场店),￥19,山茶花拿铁、桂花米酿拿铁、澳白
喜茶(上海国华广场店),￥21,多肉葡萄（首创）、满杯红柚(首创)、多肉葡萄(首创)
嘎亮手工小笼(合生汇店),￥25,招牌辣肉面、小笼、开洋葱油拌面
米小嗝东北砂锅米线(五角场店),￥23,原切肥牛米线、鱼丸刀削面、豆芽
瑞幸咖啡(合生汇B2店),￥13,生椰拿铁、柚C美式、茉莉花香拿铁
YOHO CAFE·音咖,￥24,金鱼气泡饮、香草奶丸子拿铁、超丝滑浓郁拿铁
无狄抓饭·新疆清真烧烤,￥33,羊肉抓饭、羊肉大串烤肉、果缤纷抓饭
KOI PLUS(上海江湾里定制店),￥28,伯爵波霸奶茶、伯爵黄金珍奶、饼干伯爵奶茶
和府捞面(黄兴路大润发店),￥33,草本骨汤豚骨面、草本酸辣肥牛面、高端1号精品牛肉面
茶百道(五角场中心店),￥17,青提茉莉、草莓奶冻、招牌芋圆奶茶
榴域·千层蛋糕(太平洋森活天地店),￥14,金枕榴莲千层、芒芒千层蛋糕、开心果爆浆麻薯
